total reward,steps,episodes
2.0,10000,2
2.0,20000,4
1.0,30000,5
1.0,40000,6
2.0,50000,8
2.0,60000,10
1.0,70000,11
2.0,80000,13
2.0,90000,15
2.0,100000,17
1.0,110000,18
4.0,120000,22
3.0,130000,25
1.0,140000,26
1.0,150000,27
1.0,160000,28
2.0,170000,30
4.0,180000,34
3.0,190000,37
1.0,200000,38
4.0,210000,42
2.0,220000,44
3.0,230000,47
3.0,240000,50
4.0,250000,54
2.0,260000,56
3.0,270000,59
2.0,280000,61
4.0,290000,65
3.0,300000,68
2.0,310000,70
3.0,320000,73
2.0,330000,75
4.0,340000,79
5.0,350000,84
3.0,360000,87
5.0,370000,92
4.0,380000,96
2.0,390000,98
2.0,400000,100
3.0,410000,103
4.0,420000,107
1.0,430000,108
4.0,440000,112
3.0,450000,115
3.0,460000,118
5.0,470000,123
2.0,480000,125
4.0,490000,129
5.0,500000,134
3.0,510000,137
2.0,520000,139
5.0,530000,144
3.0,540000,147
3.0,550000,150
4.0,560000,154
3.0,570000,157
6.0,580000,163
4.0,590000,167
1.0,600000,168
4.0,610000,172
4.0,620000,176
2.0,630000,178
4.0,640000,182
3.0,650000,185
3.0,660000,188
2.0,670000,190
6.0,680000,196
1.0,690000,197
6.0,700000,203
4.0,710000,207
7.0,720000,214
1.0,730000,215
3.0,740000,218
6.0,750000,224
3.0,760000,227
1.0,770000,228
6.0,780000,234
2.0,790000,236
4.0,800000,240
4.0,810000,244
3.0,820000,247
1.0,830000,248
6.0,840000,254
4.0,850000,258
3.0,860000,261
4.0,870000,265
2.0,880000,267
3.0,890000,270
5.0,900000,275
3.0,910000,278
4.0,920000,282
4.0,930000,286
4.0,940000,290
5.0,950000,295
3.0,960000,298
5.0,970000,303
2.0,980000,305
3.0,990000,308
3.0,1000000,311
4.0,1010000,315
3.0,1020000,318
4.0,1030000,322
2.0,1040000,324
3.0,1050000,327
7.0,1060000,334
4.0,1070000,338
6.0,1080000,344
3.0,1090000,347
4.0,1100000,351
6.0,1110000,357
4.0,1120000,361
4.0,1130000,365
2.0,1140000,367
4.0,1150000,371
4.0,1160000,375
3.0,1170000,378
6.0,1180000,384
4.0,1190000,388
6.0,1200000,394
2.0,1210000,396
2.0,1220000,398
4.0,1230000,402
5.0,1240000,407
2.0,1250000,409
5.0,1260000,414
4.0,1270000,418
5.0,1280000,423
5.0,1290000,428
5.0,1300000,433
2.0,1310000,435
5.0,1320000,440
6.0,1330000,446
6.0,1340000,452
4.0,1350000,456
3.0,1360000,459
6.0,1370000,465
3.0,1380000,468
6.0,1390000,474
2.0,1400000,476
3.0,1410000,479
3.0,1420000,482
5.0,1430000,487
5.0,1440000,492
6.0,1450000,498
5.0,1460000,503
4.0,1470000,507
3.0,1480000,510
4.0,1490000,514
4.0,1500000,518
7.0,1510000,525
3.0,1520000,528
6.0,1530000,534
3.0,1540000,537
3.0,1550000,540
5.0,1560000,545
3.0,1570000,548
6.0,1580000,554
4.0,1590000,558
2.0,1600000,560
5.0,1610000,565
2.0,1620000,567
6.0,1630000,573
4.0,1640000,577
6.0,1650000,583
4.0,1660000,587
1.0,1670000,588
7.0,1680000,595
2.0,1690000,597
8.0,1700000,605
4.0,1710000,609
6.0,1720000,615
7.0,1730000,622
3.0,1740000,625
2.0,1750000,627
7.0,1760000,634
3.0,1770000,637
3.0,1780000,640
7.0,1790000,647
6.0,1800000,653
3.0,1810000,656
5.0,1820000,661
3.0,1830000,664
4.0,1840000,668
6.0,1850000,674
4.0,1860000,678
5.0,1870000,683
5.0,1880000,688
7.0,1890000,695
3.0,1900000,698
6.0,1910000,704
7.0,1920000,711
7.0,1930000,718
4.0,1940000,722
4.0,1950000,726
2.0,1960000,728
4.0,1970000,732
4.0,1980000,736
7.0,1990000,743
2.0,2000000,745
