#{"t_start": 1711482721.091155, "env_id": "Office-single-v0"}
r,l,t
0.0,15,0.000633
0.0,38,0.001227
0.0,13,0.001443
0.0,10,0.001605
0.0,71,0.002672
0.0,14,0.002898
0.0,20,0.003212
0.0,45,0.003885
0.0,72,0.004962
0.0,42,0.005556
0.0,29,0.005967
0.0,26,0.006336
0.0,25,0.006692
0.0,13,0.006882
0.0,24,0.007222
0.0,28,0.007621
0.0,16,0.007852
0.0,4,0.007948
0.0,46,0.008604
0.0,85,0.009794
0.0,104,0.011241
0.0,68,0.012197
0.0,34,0.012679
0.0,56,0.013456
0.0,78,0.014527
0.0,51,0.015213
0.0,25,0.015547
0.0,87,0.016664
0.0,66,0.017508
0.0,13,0.017683
0.0,91,0.018842
0.0,26,0.019186
0.0,95,0.020402
0.0,82,0.021456
0.0,53,0.022137
0.0,86,0.023237
0.0,31,0.023641
0.0,189,0.02605
0.0,14,0.026241
0.0,136,0.027955
0.0,59,0.028692
0.0,50,0.029323
0.0,51,0.029962
0.0,32,0.030362
0.0,4,0.030423
0.0,58,0.031149
0.0,56,0.03186
0.0,17,0.032092
0.0,107,0.033429
1.0,178,0.035614
0.0,104,0.036886
0.0,37,0.037342
0.0,30,0.037717
0.0,123,0.039214
0.0,115,0.040621
0.0,43,0.041151
0.0,106,0.04245
0.0,40,0.042942
0.0,82,0.043943
0.0,93,0.045095
0.0,26,0.045428
0.0,39,0.045908
0.0,61,0.04666
0.0,54,0.047315
0.0,79,0.048276
0.0,154,0.050118
0.0,66,0.050916
1.0,366,0.055291
0.0,20,0.055548
0.0,161,0.057502
0.0,140,0.0592
0.0,133,0.060827
0.0,6,0.060913
1.0,238,0.063802
0.0,107,0.065092
0.0,70,0.065942
1.0,200,0.068395
0.0,29,0.068758
0.0,204,0.071347
0.0,379,0.076039
0.0,67,0.076858
0.0,75,0.077775
0.0,223,0.080456
0.0,40,0.080947
0.0,85,0.081977
0.0,129,0.083534
1.0,314,0.087322
0.0,122,0.088794
0.0,236,0.091646
1.0,138,0.093309
0.0,75,0.094217
0.0,101,0.095465
0.0,27,0.095801
0.0,13,0.095973
1.0,247,0.098933
0.0,67,0.099753
0.0,214,0.102332
0.0,277,0.105675
0.0,18,0.105904
0.0,94,0.107046
1.0,210,0.10957
0.0,10,0.109702
0.0,320,0.113557
0.0,59,0.114282
0.0,27,0.114615
0.0,98,0.115801
0.0,26,0.116123
0.0,238,0.119054
0.0,22,0.119336
1.0,184,0.121578
0.0,124,0.123079
0.0,23,0.123372
0.0,20,0.123624
0.0,59,0.124341
1.0,157,0.134421
0.0,4,0.134598
0.0,111,0.136079
0.0,49,0.136707
0.0,15,0.136909
0.0,371,0.141644
1.0,108,0.143014
0.0,164,0.145053
0.0,5,0.145131
0.0,19,0.145378
1.0,168,0.147609
0.0,97,0.148827
1.0,72,0.14973
0.0,160,0.151704
0.0,49,0.152319
0.0,59,0.153069
0.0,225,0.155851
0.0,6,0.15594
0.0,48,0.156535
0.0,2,0.156571
0.0,38,0.157045
1.0,292,0.1606
0.0,52,0.161261
1.0,128,0.162817
1.0,91,0.163934
0.0,80,0.164908
0.0,135,0.166564
0.0,126,0.168122
0.0,47,0.168728
0.0,18,0.168965
0.0,39,0.169446
0.0,52,0.170083
0.0,15,0.170277
1.0,160,0.172212
0.0,22,0.17249
1.0,250,0.17553
0.0,196,0.177926
0.0,5,0.178001
0.0,47,0.178587
1.0,245,0.181574
0.0,56,0.182269
1.0,163,0.184245
0.0,45,0.184796
0.0,60,0.185529
1.0,224,0.188288
0.0,220,0.190969
0.0,78,0.191923
0.0,16,0.19213
0.0,181,0.194326
0.0,55,0.195001
1.0,115,0.196399
0.0,17,0.196618
0.0,52,0.197256
1.0,101,0.198496
0.0,5,0.198569
0.0,4,0.198629
0.0,75,0.199539
1.0,100,0.200788
0.0,148,0.2026
0.0,26,0.202933
1.0,47,0.203515
0.0,21,0.20378
0.0,21,0.204046
0.0,79,0.205014
0.0,74,0.205945
1.0,111,0.207303
0.0,241,0.210228
0.0,19,0.210473
0.0,60,0.211222
1.0,76,0.212148
0.0,37,0.212601
0.0,56,0.213277
0.0,2,0.213313
0.0,65,0.214111
0.0,19,0.214351
0.0,21,0.214612
0.0,12,0.214766
0.0,14,0.214945
1.0,99,0.216147
0.0,83,0.217161
1.0,137,0.21884
1.0,138,0.220524
0.0,36,0.220971
1.0,101,0.222207
1.0,86,0.223258
0.0,113,0.224626
0.0,73,0.225518
1.0,285,0.228985
0.0,21,0.229253
0.0,33,0.229662
0.0,154,0.231524
0.0,6,0.231609
0.0,105,0.23289
0.0,117,0.234323
1.0,71,0.235187
1.0,164,0.237171
0.0,215,0.239774
1.0,76,0.240706
1.0,104,0.241982
1.0,40,0.242479
0.0,131,0.24407
0.0,316,0.247916
0.0,120,0.249386
0.0,23,0.249677
0.0,93,0.250842
1.0,228,0.25365
0.0,40,0.254151
0.0,10,0.254287
1.0,47,0.254868
0.0,24,0.255166
0.0,98,0.256349
0.0,83,0.257677
1.0,283,0.261155
0.0,153,0.263025
0.0,259,0.266172
1.0,51,0.266805
0.0,159,0.268737
1.0,116,0.270154
0.0,48,0.270746
0.0,10,0.27088
0.0,121,0.272371
0.0,121,0.273867
0.0,44,0.27441
0.0,228,0.277177
1.0,58,0.277899
1.0,31,0.278292
0.0,11,0.278435
0.0,23,0.278724
1.0,120,0.280189
1.0,81,0.281174
0.0,22,0.281448
1.0,267,0.284683
1.0,32,0.285082
1.0,172,0.287174
0.0,13,0.287344
1.0,88,0.288419
1.0,59,0.289148
0.0,81,0.290148
0.0,115,0.291544
1.0,57,0.292256
1.0,189,0.294577
1.0,119,0.296031
1.0,31,0.29642
0.0,114,0.297815
1.0,80,0.2988
1.0,133,0.300448
1.0,110,0.301787
0.0,176,0.303947
0.0,220,0.306626
1.0,43,0.30716
0.0,70,0.308017
1.0,37,0.308476
1.0,51,0.309101
1.0,106,0.310393
1.0,30,0.310769
0.0,2,0.310804
0.0,25,0.311115
1.0,51,0.31175
0.0,27,0.312086
0.0,23,0.312371
1.0,69,0.31322
1.0,124,0.314734
1.0,67,0.315558
1.0,39,0.316042
0.0,172,0.318177
1.0,41,0.318686
0.0,51,0.319311
0.0,26,0.319632
1.0,26,0.319956
0.0,2,0.319991
1.0,31,0.32038
0.0,27,0.320715
1.0,72,0.321592
0.0,104,0.322859
0.0,8,0.322968
1.0,48,0.323559
0.0,219,0.326231
1.0,44,0.326793
0.0,137,0.328458
1.0,190,0.330765
1.0,33,0.33118
0.0,7,0.331276
0.0,36,0.331719
1.0,28,0.332067
1.0,33,0.332477
1.0,85,0.333513
1.0,46,0.334079
1.0,72,0.334961
0.0,7,0.335056
0.0,131,0.336676
0.0,15,0.336868
1.0,28,0.337219
1.0,151,0.339066
0.0,6,0.33915
1.0,29,0.33951
0.0,44,0.340056
0.0,8,0.340163
1.0,28,0.340514
1.0,59,0.341237
1.0,27,0.341575
0.0,2,0.341609
0.0,29,0.341968
1.0,55,0.342641
1.0,74,0.343543
1.0,38,0.344016
1.0,29,0.34439
1.0,229,0.347155
1.0,29,0.347517
0.0,86,0.348572
1.0,28,0.348922
1.0,42,0.349441
1.0,31,0.34983
1.0,47,0.350412
1.0,47,0.350985
1.0,58,0.351709
1.0,130,0.353293
1.0,24,0.353598
1.0,27,0.353936
1.0,53,0.354589
1.0,23,0.354883
1.0,23,0.355173
0.0,14,0.355352
1.0,76,0.356283
1.0,35,0.35672
1.0,23,0.357011
1.0,25,0.357325
1.0,23,0.357616
0.0,44,0.35816
1.0,32,0.358562
0.0,8,0.358667
1.0,27,0.359007
0.0,9,0.359126
0.0,20,0.359379
1.0,25,0.359699
0.0,2,0.359733
1.0,23,0.360024
0.0,18,0.360251
1.0,23,0.360542
1.0,32,0.36094
1.0,24,0.361257
1.0,25,0.361574
1.0,27,0.361915
1.0,47,0.362495
1.0,25,0.362812
1.0,23,0.363104
1.0,25,0.363419
1.0,32,0.363819
1.0,29,0.364183
0.0,4,0.364242
1.0,30,0.364619
1.0,23,0.364911
1.0,25,0.365228
1.0,24,0.365531
1.0,28,0.36588
1.0,24,0.366183
1.0,23,0.366477
1.0,26,0.366806
1.0,28,0.36717
1.0,30,0.367564
1.0,30,0.367976
0.0,17,0.3682
1.0,24,0.368503
0.0,21,0.368767
1.0,30,0.369139
1.0,35,0.369572
0.0,89,0.370658
1.0,218,0.373302
1.0,31,0.373694
1.0,30,0.374065
1.0,23,0.374358
1.0,23,0.37465
1.0,23,0.374941
1.0,24,0.375243
1.0,25,0.37556
1.0,25,0.375873
1.0,30,0.376248
1.0,25,0.376567
1.0,25,0.376878
1.0,23,0.377172
1.0,26,0.377499
1.0,25,0.377829
1.0,26,0.37816
1.0,32,0.378555
1.0,23,0.378847
0.0,14,0.379027
1.0,24,0.379329
1.0,27,0.379667
0.0,19,0.37991
0.0,18,0.380137
1.0,27,0.380476
1.0,27,0.380902
1.0,27,0.381244
1.0,28,0.381596
1.0,23,0.381891
1.0,25,0.382207
1.0,23,0.3825
1.0,23,0.382791
0.0,8,0.382898
0.0,78,0.383849
0.0,18,0.38408
1.0,24,0.384383
1.0,25,0.384699
0.0,4,0.384758
0.0,6,0.38484
0.0,6,0.384921
1.0,43,0.385453
0.0,4,0.385512
1.0,28,0.385865
1.0,29,0.386226
1.0,32,0.386624
1.0,32,0.387022
