#{"t_start": 1711482768.919574, "env_id": "Office-v0"}
r,l,t
0.0,26,0.000829
0.0,4,0.000933
0.0,47,0.001711
0.0,30,0.002209
0.0,28,0.002679
0.0,69,0.003801
0.0,49,0.004616
0.0,68,0.005713
0.0,39,0.006319
0.0,37,0.006877
0.0,2,0.006923
0.0,19,0.007227
0.0,55,0.008073
0.0,6,0.008181
0.0,25,0.008577
0.0,9,0.008731
0.0,16,0.008984
0.0,41,0.009605
0.0,37,0.010174
0.0,19,0.010472
0.0,13,0.010681
0.0,25,0.011078
0.0,14,0.0113
0.0,15,0.011538
0.0,11,0.011714
0.0,29,0.012157
0.0,11,0.012332
0.0,61,0.013273
0.0,60,0.014192
0.0,24,0.014572
0.0,14,0.014799
1.0,71,0.015818
0.0,17,0.016082
0.0,86,0.017298
0.0,47,0.017962
0.0,9,0.018101
0.0,112,0.019686
0.0,13,0.019884
0.0,12,0.020066
0.0,28,0.020477
0.0,36,0.020998
0.0,69,0.02198
0.0,4,0.02205
0.0,31,0.0225
0.0,82,0.023658
0.0,66,0.024602
0.0,63,0.025498
0.0,96,0.026855
0.0,48,0.02751
0.0,5,0.027587
0.0,14,0.027786
0.0,36,0.028279
0.0,72,0.02926
0.0,58,0.030048
0.0,27,0.030423
1.0,47,0.031062
0.0,57,0.031839
0.0,101,0.033218
0.0,30,0.033636
0.0,16,0.033863
0.0,102,0.035246
0.0,15,0.035463
0.0,16,0.035686
1.0,78,0.036732
0.0,35,0.037207
0.0,37,0.037707
0.0,29,0.038105
0.0,29,0.038503
0.0,12,0.038671
0.0,90,0.039863
0.0,10,0.040011
0.0,58,0.040794
0.0,82,0.041893
0.0,99,0.043208
0.0,50,0.043861
0.0,80,0.044913
0.0,11,0.045072
0.0,59,0.045866
0.0,20,0.046142
1.0,112,0.047665
0.0,31,0.048105
0.0,21,0.04839
0.0,77,0.049425
1.0,71,0.050375
0.0,58,0.051164
0.0,17,0.051401
0.0,30,0.051806
0.0,8,0.051923
0.0,87,0.053089
0.0,39,0.05365
0.0,64,0.054508
0.0,90,0.055757
0.0,17,0.055996
0.0,35,0.056475
0.0,16,0.056701
0.0,37,0.057206
0.0,123,0.058859
0.0,5,0.058939
0.0,72,0.059948
1.0,70,0.060892
0.0,132,0.062652
0.0,75,0.063665
0.0,24,0.064002
0.0,27,0.064373
0.0,46,0.064999
0.0,84,0.066141
0.0,51,0.066839
0.0,116,0.068399
1.0,239,0.07162
0.0,48,0.072275
0.0,93,0.073524
0.0,86,0.074685
0.0,100,0.076027
0.0,21,0.07632
0.0,54,0.07705
0.0,95,0.078329
0.0,122,0.079955
0.0,72,0.080927
0.0,60,0.081733
1.0,53,0.082444
0.0,10,0.082599
0.0,35,0.083073
0.0,97,0.084371
1.0,26,0.084731
0.0,58,0.085517
0.0,78,0.086566
0.0,41,0.087118
1.0,40,0.087656
0.0,39,0.088185
0.0,92,0.089414
0.0,72,0.090378
1.0,85,0.091516
0.0,32,0.091954
0.0,71,0.092902
0.0,54,0.093633
1.0,28,0.094021
0.0,93,0.095268
0.0,26,0.09562
0.0,81,0.096707
0.0,49,0.097366
0.0,90,0.098563
0.0,67,0.099487
0.0,81,0.100586
0.0,84,0.101705
0.0,55,0.102452
0.0,70,0.103397
0.0,86,0.104547
0.0,24,0.104876
0.0,11,0.105034
0.0,114,0.10662
0.0,40,0.107166
1.0,88,0.108353
0.0,71,0.109305
0.0,60,0.110113
0.0,34,0.110582
1.0,60,0.111384
0.0,21,0.111673
0.0,38,0.11219
0.0,134,0.113979
1.0,25,0.114332
0.0,106,0.115755
0.0,84,0.116906
0.0,36,0.117396
1.0,49,0.118061
0.0,12,0.118231
0.0,99,0.119555
0.0,89,0.120742
0.0,42,0.121317
1.0,180,0.123789
0.0,56,0.124556
