#{"t_start": 1711475480.831145, "env_id": "Office-single-v0"}
r,l,t
0.0,2,0.000373
0.0,8,0.000535
0.0,57,0.001105
0.0,48,0.001575
0.0,19,0.001774
0.0,22,0.001995
0.0,15,0.00216
0.0,22,0.002384
0.0,42,0.002796
0.0,19,0.002988
0.0,48,0.003462
0.0,49,0.00395
0.0,21,0.004162
0.0,23,0.004391
0.0,57,0.004937
0.0,55,0.005481
0.0,38,0.005851
0.0,122,0.007014
0.0,74,0.007688
0.0,36,0.008023
0.0,29,0.008288
0.0,47,0.008717
0.0,117,0.009755
0.0,50,0.010209
0.0,35,0.010528
0.0,22,0.010733
0.0,59,0.011262
0.0,76,0.011946
0.0,86,0.01271
0.0,54,0.013196
0.0,20,0.013388
0.0,6,0.013452
0.0,11,0.013563
0.0,135,0.014769
0.0,196,0.016512
0.0,36,0.016846
0.0,49,0.017273
0.0,23,0.01747
0.0,53,0.017918
0.0,137,0.019051
0.0,54,0.019514
0.0,7,0.019583
0.0,101,0.020421
0.0,71,0.021013
0.0,62,0.021531
0.0,87,0.022251
0.0,32,0.022527
0.0,107,0.023414
0.0,40,0.023759
0.0,57,0.024245
0.0,129,0.025311
0.0,75,0.025952
0.0,66,0.026503
0.0,42,0.026856
0.0,58,0.027349
0.0,13,0.027467
0.0,73,0.028077
0.0,53,0.028524
0.0,40,0.028866
0.0,23,0.029063
0.0,2,0.02909
0.0,159,0.030359
0.0,180,0.031808
0.0,138,0.032932
0.0,65,0.033479
0.0,38,0.0338
0.0,2,0.033828
0.0,245,0.035785
0.0,32,0.036048
1.0,149,0.037223
0.0,44,0.037574
1.0,196,0.039121
0.0,42,0.039462
0.0,47,0.039842
0.0,110,0.040709
0.0,267,0.042808
0.0,141,0.04392
0.0,245,0.045818
0.0,61,0.046298
1.0,182,0.047702
0.0,99,0.048464
0.0,70,0.049025
0.0,201,0.050588
0.0,80,0.051214
0.0,67,0.05174
1.0,188,0.053198
1.0,159,0.054435
0.0,210,0.056069
0.0,421,0.059331
1.0,133,0.060365
0.0,126,0.06135
0.0,117,0.062263
0.0,8,0.062338
0.0,7,0.062403
0.0,150,0.063563
1.0,308,0.065949
0.0,21,0.066125
0.0,242,0.067989
1.0,232,0.069772
0.0,109,0.070604
0.0,37,0.070899
0.0,104,0.071708
0.0,6,0.071766
0.0,33,0.072028
0.0,161,0.073287
0.0,234,0.07511
1.0,269,0.077183
0.0,72,0.077741
0.0,23,0.077931
0.0,27,0.078146
0.0,12,0.078248
0.0,6,0.078305
1.0,184,0.079725
0.0,8,0.079798
0.0,205,0.081391
1.0,135,0.090273
0.0,21,0.09056
0.0,50,0.091
0.0,111,0.092018
0.0,8,0.0921
0.0,6,0.092169
1.0,197,0.093789
0.0,66,0.09434
0.0,105,0.095224
1.0,88,0.095997
0.0,14,0.096128
0.0,73,0.096722
0.0,185,0.098213
1.0,148,0.099413
0.0,39,0.099741
0.0,2,0.099773
0.0,104,0.100617
0.0,144,0.101784
1.0,110,0.102685
0.0,161,0.103993
0.0,11,0.104095
0.0,37,0.104401
0.0,59,0.104875
0.0,128,0.105904
0.0,140,0.107031
0.0,8,0.107108
0.0,51,0.107535
0.0,58,0.108019
0.0,216,0.109957
0.0,143,0.111106
1.0,245,0.113069
0.0,2,0.113101
1.0,120,0.114035
0.0,36,0.114324
1.0,197,0.115859
0.0,283,0.118036
1.0,280,0.120179
0.0,8,0.120253
0.0,65,0.120768
0.0,179,0.122167
1.0,203,0.123726
0.0,36,0.124022
0.0,12,0.124128
0.0,230,0.125966
0.0,109,0.126814
0.0,54,0.127242
0.0,188,0.128696
1.0,185,0.130168
0.0,142,0.131309
0.0,89,0.132022
1.0,117,0.132961
0.0,166,0.134287
0.0,126,0.135303
0.0,44,0.135661
0.0,96,0.136426
1.0,201,0.138001
0.0,31,0.138256
0.0,54,0.138683
0.0,48,0.13907
0.0,265,0.141157
1.0,321,0.143712
0.0,120,0.144668
1.0,164,0.145964
0.0,84,0.146626
0.0,56,0.147077
0.0,156,0.148315
0.0,195,0.149848
0.0,16,0.149985
0.0,4,0.150028
0.0,51,0.150437
0.0,9,0.150518
0.0,2,0.150544
0.0,9,0.150625
0.0,153,0.151841
1.0,328,0.154419
0.0,58,0.15489
1.0,175,0.156274
1.0,335,0.15896
0.0,104,0.159783
0.0,101,0.160576
0.0,136,0.161655
0.0,18,0.161809
1.0,274,0.163965
1.0,204,0.165589
1.0,100,0.166386
1.0,187,0.167881
1.0,437,0.171677
0.0,17,0.171827
0.0,7,0.171895
0.0,91,0.172621
0.0,186,0.174089
0.0,64,0.174597
1.0,125,0.175584
0.0,102,0.176394
0.0,12,0.1765
0.0,41,0.176837
1.0,278,0.179014
1.0,239,0.180893
0.0,229,0.182684
0.0,112,0.183559
1.0,99,0.184347
0.0,50,0.18475
0.0,123,0.185721
0.0,203,0.187304
1.0,158,0.188535
0.0,126,0.189536
0.0,17,0.189683
1.0,213,0.191341
0.0,12,0.191448
0.0,10,0.191537
0.0,119,0.19247
0.0,48,0.192854
0.0,234,0.194704
0.0,22,0.194891
0.0,66,0.195419
0.0,20,0.195587
1.0,150,0.19676
0.0,115,0.197668
0.0,59,0.198136
1.0,164,0.199425
0.0,145,0.200555
1.0,220,0.202297
0.0,20,0.20247
0.0,231,0.204289
0.0,131,0.205898
0.0,44,0.206297
0.0,2,0.206328
0.0,27,0.206558
0.0,157,0.207852
0.0,9,0.207937
1.0,260,0.209972
0.0,16,0.210112
0.0,80,0.210766
1.0,129,0.211785
1.0,142,0.212916
0.0,106,0.213758
0.0,18,0.213909
0.0,89,0.214613
1.0,79,0.215246
0.0,124,0.216233
0.0,5,0.216284
0.0,48,0.216668
0.0,42,0.217004
1.0,113,0.217889
0.0,24,0.218089
0.0,69,0.218639
0.0,154,0.219849
0.0,249,0.221803
1.0,267,0.223907
0.0,192,0.225444
0.0,28,0.22568
0.0,82,0.22633
1.0,181,0.227762
