#{"t_start": 1711475089.2007198, "env_id": "Office-v0"}
r,l,t
0.0,56,0.000971
0.0,4,0.001048
0.0,16,0.001244
0.0,50,0.001792
0.0,27,0.002101
0.0,25,0.002376
0.0,68,0.003107
0.0,13,0.003268
0.0,36,0.003663
0.0,49,0.004191
0.0,2,0.004232
0.0,10,0.004352
0.0,20,0.004564
0.0,11,0.004691
0.0,51,0.005215
0.0,7,0.005298
0.0,9,0.0054
0.0,8,0.005494
0.0,53,0.006029
0.0,62,0.006655
0.0,9,0.00676
0.0,65,0.007406
0.0,52,0.007931
0.0,7,0.008015
0.0,13,0.008159
0.0,13,0.008302
0.0,13,0.008444
0.0,48,0.008937
0.0,10,0.00905
0.0,10,0.009164
0.0,30,0.009472
0.0,20,0.009681
0.0,48,0.010166
0.0,63,0.010801
0.0,31,0.01112
0.0,24,0.011369
0.0,4,0.011421
0.0,17,0.011599
0.0,4,0.011652
0.0,32,0.011982
0.0,19,0.012182
0.0,20,0.012396
0.0,56,0.01295
0.0,78,0.013733
0.0,27,0.014002
0.0,27,0.014264
0.0,20,0.014462
1.0,52,0.01494
0.0,61,0.015517
0.0,20,0.015713
0.0,19,0.015892
1.0,33,0.016205
0.0,11,0.016317
0.0,68,0.016949
0.0,29,0.017219
0.0,46,0.01765
0.0,35,0.017984
0.0,147,0.019352
0.0,71,0.020017
0.0,12,0.020138
0.0,138,0.021406
0.0,59,0.021948
0.0,24,0.022174
0.0,29,0.022448
0.0,42,0.022842
0.0,71,0.0235
0.0,69,0.024135
0.0,37,0.024486
0.0,40,0.024857
0.0,58,0.025414
0.0,4,0.025465
0.0,144,0.026758
0.0,97,0.027649
0.0,65,0.02823
0.0,81,0.028947
0.0,34,0.029261
0.0,56,0.029771
0.0,48,0.030208
0.0,16,0.030362
1.0,67,0.030965
0.0,37,0.031297
0.0,53,0.031808
0.0,18,0.031982
0.0,92,0.032797
0.0,165,0.034258
0.0,38,0.034608
0.0,15,0.034753
0.0,24,0.034971
0.0,61,0.035513
0.0,9,0.0356
0.0,19,0.03578
0.0,12,0.035898
0.0,18,0.036065
0.0,37,0.036402
0.0,53,0.036868
1.0,88,0.037663
0.0,69,0.038283
0.0,82,0.039
0.0,74,0.039644
0.0,40,0.039999
0.0,110,0.040966
0.0,66,0.041564
0.0,88,0.042323
1.0,18,0.042489
0.0,96,0.043331
0.0,7,0.043403
0.0,77,0.044075
1.0,48,0.044495
0.0,62,0.045053
0.0,16,0.045203
0.0,36,0.045518
0.0,70,0.046138
0.0,29,0.046397
0.0,93,0.04719
0.0,31,0.047462
0.0,24,0.047676
0.0,2,0.047703
0.0,18,0.047869
0.0,38,0.0482
1.0,39,0.048539
0.0,25,0.048761
0.0,51,0.049203
0.0,114,0.05016
1.0,88,0.050929
0.0,128,0.052049
0.0,116,0.053064
